client_collected,contact_method,pickup_date,age,dependents_qty,household,preferred_languages,sex_new,status,Season,Month,distance_km,num_of_contact_methods,latest_language_is_english
yes,In-Person,2023-08-22 10:45:00,56.0,1.0,yes,English,Female,Active,Summer,August,0.0,2,Yes
yes,In-Person,2023-09-07 17:37:00,36.0,6.0,yes,Arabic,Female,Active,Fall,September,7.49,2,No
yes,In-Person,2023-10-07 03:00:00,36.0,6.0,yes,Arabic,Female,Active,Fall,October,7.49,2,No
yes,In-Person,2023-11-07 15:59:00,36.0,6.0,yes,Arabic,Female,Active,Fall,November,7.49,2,No
yes,In-Person,2023-09-12 17:39:00,32.0,5.0,yes,"Arabic , French",Female,Active,Fall,September,15.3,3,No
yes,In-Person,2023-09-13 16:36:00,30.0,2.0,yes,Turkish,Female,Active,Fall,September,11.32,3,No
yes,In-Person,2023-10-18 18:37:00,30.0,2.0,yes,Turkish,Female,Active,Fall,October,11.32,3,No
yes,In-Person,2023-11-13 04:00:00,30.0,2.0,yes,Turkish,Female,Active,Fall,November,11.32,3,No
yes,In-Person,2023-12-13 04:00:00,30.0,2.0,yes,Turkish,Female,Active,Winter,December,11.32,3,No
yes,In-Person,2024-01-13 04:00:00,30.0,2.0,yes,Turkish,Female,Active,Winter,January,11.32,3,No
yes,In-Person,2024-02-13 04:00:00,30.0,2.0,yes,Turkish,Female,Active,Winter,Febuary,11.32,3,No
yes,In-Person,2024-03-13 03:00:00,30.0,2.0,yes,Turkish,Female,Active,Spring,March,11.32,3,No
yes,In-Person,2024-04-13 03:00:00,30.0,2.0,yes,Turkish,Female,Active,Spring,April,11.32,3,No
yes,In-Person,2024-05-13 03:00:00,30.0,2.0,yes,Turkish,Female,Active,Spring,May,11.32,3,No
yes,In-Person,2024-06-13 03:00:00,30.0,2.0,yes,Turkish,Female,Active,Summer,June,11.32,3,No
yes,In-Person,2024-07-13 03:00:00,30.0,2.0,yes,Turkish,Female,Active,Summer,July,11.32,3,No
yes,In-Person,2024-08-13 03:00:00,30.0,2.0,yes,Turkish,Female,Active,Summer,August,11.32,3,No
yes,In-Person,2023-10-18 14:18:00,40.0,3.0,yes,"English , Arabic",Female,Closed,Fall,October,8.94,2,No
yes,In-Person,2023-10-18 14:20:00,40.0,3.0,yes,"English , Arabic",Female,Closed,Fall,October,8.94,2,No
yes,In-Person,2023-11-14 18:07:00,40.0,3.0,yes,"English , Arabic",Female,Closed,Fall,November,8.94,2,No
yes,In-Person,2023-12-14 14:28:00,40.0,3.0,yes,"English , Arabic",Female,Closed,Winter,December,8.94,2,No
yes,In-Person,2024-02-20 17:59:00,40.0,3.0,yes,"English , Arabic",Female,Closed,Winter,Febuary,8.94,2,No
yes,In-Person,2024-03-25 16:44:00,40.0,3.0,yes,"English , Arabic",Female,Closed,Spring,March,8.94,2,No
yes,In-Person,2023-10-19 17:17:00,36.0,5.0,yes,Arabic,Female,Closed,Fall,October,8.7,2,No
yes,In-Person,2023-10-19 17:19:00,36.0,5.0,yes,Arabic,Female,Closed,Fall,October,8.7,2,No
yes,In-Person,2023-09-14 03:00:00,28.0,1.0,yes,Turkish,Female,Active,Fall,September,11.19,1,No
yes,In-Person,2023-10-18 18:34:00,28.0,1.0,yes,Turkish,Female,Active,Fall,October,11.19,1,No
yes,In-Person,2023-11-14 04:00:00,28.0,1.0,yes,Turkish,Female,Active,Fall,November,11.19,1,No
yes,In-Person,2023-12-14 04:00:00,28.0,1.0,yes,Turkish,Female,Active,Winter,December,11.19,1,No
yes,In-Person,2024-01-14 04:00:00,28.0,1.0,yes,Turkish,Female,Active,Winter,January,11.19,1,No
no,In-Person,2024-02-14 04:00:00,28.0,1.0,yes,Turkish,Female,Active,Winter,Febuary,11.19,1,No
no,In-Person,2024-03-14 03:00:00,28.0,1.0,yes,Turkish,Female,Active,Spring,March,11.19,1,No
no,In-Person,2024-04-14 03:00:00,28.0,1.0,yes,Turkish,Female,Active,Spring,April,11.19,1,No
yes,In-Person,2024-05-14 14:58:00,28.0,1.0,yes,Turkish,Female,Active,Spring,May,11.19,1,No
no,In-Person,2024-06-14 03:00:00,28.0,1.0,yes,Turkish,Female,Active,Summer,June,11.19,1,No
yes,In-Person,2024-07-14 03:00:00,28.0,1.0,yes,Turkish,Female,Active,Summer,July,11.19,1,No
yes,In-Person,2024-08-14 03:00:00,28.0,1.0,yes,Turkish,Female,Active,Summer,August,11.19,1,No
yes,In-Person,2023-10-17 15:01:00,45.0,6.0,yes,Arabic,Female,Active,Fall,October,5.21,2,No
yes,In-Person,2023-10-17 15:05:00,45.0,6.0,yes,Arabic,Female,Active,Fall,October,5.21,2,No
yes,In-Person,2023-10-17 15:01:00,35.0,6.0,yes,Arabic,Female,Active,Fall,October,5.04,2,No
yes,In-Person,2023-10-17 15:05:00,35.0,6.0,yes,Arabic,Female,Active,Fall,October,5.04,2,No
yes,In-Person,2023-11-21 17:08:00,41.0,9.0,yes,Arabic,Female,Closed,Fall,November,8.7,2,No
yes,In-Person,2023-12-18 15:06:00,41.0,9.0,yes,Arabic,Female,Closed,Winter,December,8.7,2,No
yes,In-Person,2023-09-25 17:00:00,49.0,1.0,yes,Arabic,Female,Active,Fall,September,9.06,1,No
yes,In-Person,2023-10-30 14:16:00,49.0,1.0,yes,Arabic,Female,Active,Fall,October,9.06,1,No
yes,In-Person,2023-09-25 17:02:00,22.0,4.0,yes,Arabic,Female,Active,Fall,September,8.32,1,No
yes,In-Person,2023-09-25 17:42:00,38.0,6.0,yes,Arabic,Female,Active,Fall,September,9.24,3,No
yes,In-Person,2023-09-25 18:28:00,45.0,5.0,yes,Arabic,Female,Active,Fall,September,5.29,2,No
yes,In-Person,2023-10-25 17:37:00,45.0,5.0,yes,Arabic,Female,Active,Fall,October,5.29,2,No
yes,In-Person,2023-09-27 14:20:00,54.0,1.0,yes,Arabic,Female,Active,Fall,September,5.44,1,Yes
yes,In-Person,2023-10-27 03:00:00,54.0,1.0,yes,Arabic,Female,Active,Fall,October,5.44,1,Yes
yes,In-Person,2023-11-27 15:51:00,54.0,1.0,yes,Arabic,Female,Active,Fall,November,5.44,1,Yes
yes,In-Person,2023-09-27 15:37:00,21.0,3.0,yes,Arabic,Female,Active,Fall,September,5.05,1,Yes
yes,In-Person,2023-10-27 03:00:00,21.0,3.0,yes,Arabic,Female,Active,Fall,October,5.05,1,Yes
yes,In-Person,2023-11-27 16:56:00,21.0,3.0,yes,Arabic,Female,Active,Fall,November,5.05,1,Yes
yes,In-Person,2023-09-27 18:01:00,54.0,2.0,yes,"Arabic , Somali",Female,Active,Fall,September,0.35,1,Yes
yes,In-Person,2023-10-16 15:11:00,31.0,2.0,yes,"Arabic , Somali",Female,Active,Fall,October,0.35,1,Yes
yes,In-Person,2023-11-27 16:55:00,46.0,2.0,yes,"Arabic , Somali",Female,Active,Fall,November,0.35,1,Yes
yes,In-Person,2023-09-27 18:01:00,72.0,1.0,yes,Arabic,Female,Active,Fall,September,6.85,1,Yes
no,In-Person,2023-10-27 03:00:00,72.0,1.0,yes,Arabic,Female,Active,Fall,October,6.85,1,Yes
yes,In-Person,2023-11-27 16:55:00,72.0,1.0,yes,Arabic,Female,Active,Fall,November,6.85,1,Yes
no,In-Person,2023-12-27 04:00:00,72.0,1.0,yes,Arabic,Female,Active,Winter,December,6.85,1,Yes
yes,In-Person,2024-01-27 04:00:00,72.0,1.0,yes,Arabic,Female,Active,Winter,January,6.85,1,Yes
yes,In-Person,2024-02-13 16:12:00,72.0,1.0,yes,Arabic,Female,Active,Winter,Febuary,6.85,1,Yes
yes,In-Person,2024-03-15 18:18:00,72.0,1.0,yes,Arabic,Female,Active,Spring,March,6.85,1,Yes
yes,In-Person,2024-05-02 17:27:00,72.0,1.0,yes,Arabic,Female,Active,Spring,May,6.85,1,Yes
yes,In-Person,2024-06-08 00:15:00,72.0,1.0,yes,Arabic,Female,Active,Summer,June,6.85,1,Yes
yes,In-Person,2024-06-27 03:00:00,72.0,1.0,yes,Arabic,Female,Active,Summer,June,6.85,1,Yes
yes,In-Person,2024-07-27 03:00:00,72.0,1.0,yes,Arabic,Female,Active,Summer,July,6.85,1,Yes
yes,In-Person,2024-08-27 03:00:00,72.0,1.0,yes,Arabic,Female,Active,Summer,August,6.85,1,Yes
yes,In-Person,2024-09-27 03:00:00,72.0,1.0,yes,Arabic,Female,Active,Fall,September,6.85,1,Yes
yes,In-Person,2023-10-04 13:53:00,26.0,1.0,yes,Arabic,Female,Active,Fall,October,2.71,2,Yes
no,In-Person,2023-11-04 03:00:00,26.0,1.0,yes,Arabic,Female,Active,Fall,November,2.71,2,Yes
yes,In-Person,2023-12-04 17:26:00,26.0,1.0,yes,Arabic,Female,Active,Winter,December,2.71,2,Yes
yes,In-Person,2023-11-01 17:03:00,37.0,6.0,yes,"English , Arabic",Female,Active,Fall,November,9.59,1,No
no,In-Person,2023-12-13 04:00:00,37.0,6.0,yes,"English , Arabic",Female,Active,Winter,December,9.59,1,No
yes,In-Person,2024-01-13 04:00:00,37.0,6.0,yes,"English , Arabic",Female,Active,Winter,January,9.59,1,No
yes,In-Person,2024-02-13 04:00:00,37.0,6.0,yes,"English , Arabic",Female,Active,Winter,Febuary,9.59,1,No
yes,In-Person,2024-03-13 03:00:00,37.0,6.0,yes,"English , Arabic",Female,Active,Spring,March,9.59,1,No
no,In-Person,2024-04-13 03:00:00,37.0,6.0,yes,"English , Arabic",Female,Active,Spring,April,9.59,1,No
yes,In-Person,2023-10-19 16:33:00,59.0,2.0,yes,Oromo,Female,Active,Fall,October,9.09,2,No
yes,In-Person,2023-11-19 04:00:00,45.0,2.0,yes,Oromo,Female,Active,Fall,November,9.09,2,No
yes,In-Person,2023-12-19 14:59:00,31.0,2.0,yes,Oromo,Female,Active,Winter,December,9.09,2,No
no,In-Person,2024-01-19 04:00:00,38.0,2.0,yes,Oromo,Female,Active,Winter,January,9.09,2,No
yes,In-Person,2024-02-19 04:00:00,58.0,2.0,yes,Oromo,Female,Active,Winter,Febuary,9.09,2,No
no,In-Person,2024-03-19 03:00:00,37.0,2.0,yes,Oromo,Female,Active,Spring,March,9.09,2,No
yes,In-Person,2024-04-19 03:00:00,48.0,2.0,yes,Oromo,Female,Active,Spring,April,9.09,2,No
yes,In-Person,2024-05-19 03:00:00,41.0,2.0,yes,Oromo,Female,Active,Spring,May,9.09,2,No
yes,In-Person,2024-06-19 03:00:00,32.0,2.0,yes,Oromo,Female,Active,Summer,June,9.09,2,No
no,In-Person,2024-07-19 03:00:00,40.0,2.0,yes,Oromo,Female,Active,Summer,July,9.09,2,No
yes,In-Person,2024-08-19 03:00:00,45.0,2.0,yes,Oromo,Female,Active,Summer,August,9.09,2,No
no,In-Person,2024-09-19 03:00:00,52.0,2.0,yes,Oromo,Female,Active,Fall,September,9.09,2,No
yes,In-Person,2023-10-19 18:03:00,38.0,6.0,yes,Arabic,Female,Active,Fall,October,9.24,3,No
yes,In-Person,2023-10-19 19:15:00,28.0,6.0,yes,Arabic,Female,Active,Fall,October,9.24,3,No
yes,In-Person,2023-10-23 03:00:00,42.0,1.0,yes,"Somali , English",Female,Closed,Fall,October,0.72,3,No
yes,In-Person,2023-11-23 17:20:00,42.0,1.0,yes,"Somali , English",Female,Closed,Fall,November,0.72,3,No
yes,In-Person,2023-12-23 04:00:00,42.0,1.0,yes,"Somali , English",Female,Closed,Winter,December,0.72,3,No
yes,In-Person,2024-01-23 04:00:00,42.0,1.0,yes,"Somali , English",Female,Closed,Winter,January,0.72,3,No
yes,In-Person,2024-02-23 04:00:00,42.0,1.0,yes,"Somali , English",Female,Closed,Winter,Febuary,0.72,3,No
yes,In-Person,2024-03-23 03:00:00,42.0,1.0,yes,"Somali , English",Female,Closed,Spring,March,0.72,3,No
no,In-Person,2024-04-23 03:00:00,42.0,1.0,yes,"Somali , English",Female,Closed,Spring,April,0.72,3,No
yes,In-Person,2024-05-23 03:00:00,42.0,1.0,yes,"Somali , English",Female,Closed,Spring,May,0.72,3,No
yes,In-Person,2024-06-23 03:00:00,42.0,1.0,yes,"Somali , English",Female,Closed,Summer,June,0.72,3,No
no,In-Person,2024-07-23 03:00:00,42.0,1.0,yes,"Somali , English",Female,Closed,Summer,July,0.72,3,No
yes,In-Person,2024-08-23 03:00:00,42.0,1.0,yes,"Somali , English",Female,Closed,Summer,August,0.72,3,No
yes,In-Person,2024-09-23 03:00:00,42.0,1.0,yes,"Somali , English",Female,Closed,Fall,September,0.72,3,No
yes,In-Person,2024-10-23 03:00:00,42.0,1.0,yes,"Somali , English",Female,Closed,Fall,October,0.72,3,No
yes,In-Person,2023-10-23 17:44:00,30.0,2.0,yes,Arabic,Male,Active,Fall,October,7.11,1,No
yes,In-Person,2023-11-23 04:00:00,57.0,2.0,yes,Arabic,Male,Active,Fall,November,7.11,1,No
yes,In-Person,2023-12-23 04:00:00,26.0,2.0,yes,Arabic,Male,Active,Winter,December,7.11,1,No
yes,In-Person,2023-10-23 18:19:00,34.0,7.0,yes,Arabic,Male,Active,Fall,October,6.52,1,Yes
yes,In-Person,2023-11-23 17:20:00,34.0,7.0,yes,Arabic,Male,Active,Fall,November,6.52,1,Yes
yes,In-Person,2023-10-24 03:00:00,37.0,4.0,yes,Dari,Male,Active,Fall,October,7.7,1,No
no,In-Person,2023-10-24 03:00:00,38.0,4.0,yes,Pashto,Male,Active,Fall,October,9.24,1,No
yes,In-Person,2023-12-24 04:00:00,38.0,4.0,yes,Pashto,Male,Active,Winter,December,9.24,1,No
yes,In-Person,2023-11-23 17:19:00,34.0,5.0,yes,Arabic,Male,Active,Fall,November,9.24,3,No
yes,In-Person,2023-10-25 19:48:00,39.0,5.0,yes,"Kurdish , Arabic",Male,Active,Fall,October,8.44,2,No
yes,In-Person,2023-11-25 04:00:00,39.0,5.0,yes,"Kurdish , Arabic",Male,Active,Fall,November,8.44,2,No
yes,In-Person,2023-10-25 16:17:00,31.0,1.0,yes,Arabic,Male,Active,Fall,October,6.6,2,No
yes,In-Person,2024-03-28 18:42:00,31.0,1.0,yes,Arabic,Male,Active,Spring,March,6.6,2,No
yes,In-Person,2024-05-22 15:48:00,31.0,1.0,yes,Arabic,Male,Active,Spring,May,6.6,2,No
yes,In-Person,2024-05-01 15:51:00,31.0,1.0,yes,Arabic,Male,Active,Spring,May,6.6,2,No
yes,In-Person,2024-02-28 16:57:00,31.0,1.0,yes,Arabic,Male,Active,Winter,Febuary,6.6,2,No
yes,In-Person,2024-03-28 18:07:00,31.0,1.0,yes,Arabic,Male,Active,Spring,March,6.6,2,No
yes,In-Person,2024-07-02 15:31:00,31.0,1.0,yes,Arabic,Male,Active,Summer,July,6.6,2,No
yes,In-Person,2024-08-20 15:12:00,31.0,1.0,yes,Arabic,Male,Active,Summer,August,6.6,2,No
yes,In-Person,2024-09-03 01:00:00,31.0,1.0,yes,Arabic,Male,Active,Fall,September,6.6,2,No
yes,In-Person,2024-10-03 01:00:00,31.0,1.0,yes,Arabic,Male,Active,Fall,October,6.6,2,No
yes,In-Person,2024-11-03 01:00:00,31.0,1.0,yes,Arabic,Male,Active,Fall,November,6.6,2,No
yes,In-Person,2024-12-04 02:00:00,31.0,1.0,yes,Arabic,Male,Active,Winter,December,6.6,2,No
yes,In-Person,2023-10-25 19:46:00,31.0,1.0,yes,Arabic,Male,Active,Fall,October,6.6,2,No
yes,In-Person,2023-10-25 16:43:00,34.0,5.0,yes,Arabic,Male,Active,Fall,October,9.24,3,No
yes,In-Person,2023-10-25 16:50:00,22.0,4.0,yes,Arabic,Male,Active,Fall,October,8.32,1,No
yes,In-Person,2023-10-25 17:41:00,39.0,5.0,yes,Arabic,Male,Active,Fall,October,9.18,1,No
yes,In-Person,2023-11-25 04:00:00,39.0,5.0,yes,Arabic,Male,Active,Fall,November,9.18,1,No
yes,In-Person,2023-10-26 17:07:00,57.0,4.0,yes,Pashto,Male,Active,Fall,October,9.15,1,No
yes,In-Person,2023-12-26 04:00:00,57.0,4.0,yes,Pashto,Male,Active,Winter,December,9.15,1,No
yes,In-Person,2023-10-26 17:48:00,63.0,4.0,yes,Arabic,Male,Active,Fall,October,9.12,1,No
yes,In-Person,2023-11-26 04:00:00,63.0,4.0,yes,Arabic,Male,Active,Fall,November,9.12,1,No
yes,In-Person,2023-12-26 04:00:00,63.0,4.0,yes,Arabic,Male,Active,Winter,December,9.12,1,No
yes,In-Person,2024-01-26 04:00:00,63.0,4.0,yes,Arabic,Male,Active,Winter,January,9.12,1,No
yes,In-Person,2024-02-26 17:07:00,63.0,4.0,yes,Arabic,Male,Active,Winter,Febuary,9.12,1,No
yes,In-Person,2024-03-26 16:40:00,63.0,4.0,yes,Arabic,Male,Active,Spring,March,9.12,1,No
no,In-Person,2024-04-26 03:00:00,63.0,4.0,yes,Arabic,Male,Active,Spring,April,9.12,1,No
yes,In-Person,2024-05-26 03:00:00,63.0,4.0,yes,Arabic,Male,Active,Spring,May,9.12,1,No
yes,In-Person,2024-06-26 03:00:00,63.0,4.0,yes,Arabic,Male,Active,Summer,June,9.12,1,No
yes,In-Person,2024-07-26 03:00:00,63.0,4.0,yes,Arabic,Male,Active,Summer,July,9.12,1,No
yes,In-Person,2024-08-26 03:00:00,63.0,4.0,yes,Arabic,Male,Active,Summer,August,9.12,1,No
yes,In-Person,2024-09-26 03:00:00,63.0,4.0,yes,Arabic,Male,Active,Fall,September,9.12,1,No
yes,In-Person,2024-10-26 03:00:00,63.0,4.0,yes,Arabic,Male,Active,Fall,October,9.12,1,No
yes,In-Person,2023-11-01 13:37:00,49.0,5.0,yes,Arabic,Male,Active,Fall,November,8.88,1,No
yes,In-Person,2023-11-01 14:14:00,66.0,1.0,yes,Arabic,Male,Closed,Fall,November,9.86,1,No
yes,In-Person,2023-11-01 14:26:00,35.0,1.0,yes,English,Male,Active,Fall,November,0.55,2,No
no,In-Person,2023-12-01 04:00:00,35.0,1.0,yes,English,Male,Active,Winter,December,0.55,2,No
yes,In-Person,2024-01-01 04:00:00,35.0,1.0,yes,English,Male,Active,Winter,January,0.55,2,No
yes,In-Person,2024-02-01 04:00:00,35.0,1.0,yes,English,Male,Active,Winter,Febuary,0.55,2,No
